l0,l1,l2,l3,l4,l5,l6,l7,l8,l9,l10,l11
73.6548,72.2871,73.6319,74.7022,72.9746,73.3226,75.4845,71.7686,71.8518,71.1728,67.6906,60.4331
73.8888,72.6296,73.9037,74.0405,73.0333,73.3092,75.32,71.9417,71.5418,71.6392,67.2072,61.9191
73.2859,72.8787,73.4244,74.5072,73.4899,73.4565,75.7205,70.8598,71.4914,71.6392,67.6594,60.8362
73.7808,72.7775,73.9395,74.5838,72.7136,73.3963,75.4416,71.9345,71.2463,71.1277,67.4333,60.2988
73.5559,72.941,73.9037,74.5838,73.3007,73.2222,75.3129,72.2952,71.3472,71.3684,67.4411,60.0379
73.8618,71.6021,73.4173,74.4515,73.3725,73.1485,75.7992,71.8912,71.8662,71.3533,67.7764,60.4964
73.6099,72.7075,73.4888,74.2356,73.4964,72.9677,75.4488,71.6676,71.3761,71.2781,67.4333,60.8995
73.8348,72.1158,73.6533,74.0963,73.4834,73.4833,75.7348,71.5883,72.2194,71.7897,67.6984,61.018
73.9518,72.9955,73.1812,74.8346,73.1768,73.1552,75.6848,71.6965,71.65,71.233,66.8798,58.8049
73.7358,73.1823,73.589,74.3818,73.516,72.9945,75.5274,72.122,72.2627,71.0524,68.0493,61.4527
